station,state,latitude,longitude,elevation,avg_temp,total_prcp
ABERDEEN,SD,45.4558,-98.4131,396.8,49.13125954198473,12.2441011
ABILENE RGNL AP,TX,32.4106,-99.6822,545.6,68.2119465648855,14.46457474
ADRIAN LENAWEE CO AP,MI,41.8678,-84.0794,242.6,53.51761538461538,23.32678425
AKRON CANTON RGNL AP,OH,40.9167,-81.4333,368.2,56.24847328244275,36.74017732
AKRON FULTON INTL AP,OH,41.0375,-81.4642,318.2,56.747230769230775,15.12992943
AKRON WASHINGTON CO AP,CO,40.1667,-103.2167,1421.3,55.362269230769236,11.98425844
ALABASTER SHELBY CO AP,AL,33.1783,-86.7817,172.2,67.8443893129771,53.03939872
ALAMOSA SAN LUIS AP,CO,37.4389,-105.8614,2296.1,47.426412213740456,8.90945363
ALBANY AP,NY,42.7431,-73.8092,95.1,52.95076335877863,34.39765637
ALBANY SW GA RGNL AP,GA,31.5356,-84.1944,57.9,71.6983076923077,35.6693106
ALBUQUERQUE INTL AP,NM,35.0419,-106.6156,1618.5,62.95965648854962,5.53937307
ALEXANDRIA ESLER RGNL AP,LA,31.3928,-92.2956,34.1,70.50026923076923,40.04726572
ALEXANDRIA INTL AP,LA,31.3347,-92.5586,25.6,70.98980694980695,43.31892103
ALEXANDRIA MUNI AP,MN,45.8678,-95.3942,431.6,48.12523076923077,22.94489428
ALICE INTL AP,TX,27.7411,-98.0247,52.7,77.16684615384615,13.830716129999999
ALLENTOWN INTL AP,PA,40.6508,-75.4492,118.9,56.733511450381684,42.92915704
ALLIANCE MUNI AP,NE,42.0572,-102.8,1196.0,50.92942307692307,15.25985076
ALMA BACON CO AP,GA,31.5358,-82.5067,58.8,70.64984732824426,35.69293266
ALPENA CO RGNL AP,MI,45.0717,-83.5644,208.5,48.20137404580153,29.78348065
ALTOONA BLAIR CO AP,PA,40.2964,-78.3203,451.1,54.84684615384616,31.90552904
ALTUS AFB,OK,34.3622,-98.9761,386.2,67.5137890625,25.7086753
AMARILLO,TX,35.2333,-101.7089,1093.3,62.17473282442749,21.02757041
AMES MUNI AP,IA,41.9922,-93.6217,283.5,54.27326923076923,26.37009298
ANCHORAGE INTL AP,AK,61.1689,-150.0278,36.6,40.245648854961836,13.13780237
ANCHORAGE LAKE HOOD AP,AK,61.1781,-149.9664,27.4,39.911346153846154,12.06693565
ANCHORAGE MERRILL FLD,AK,61.2169,-149.855,42.1,38.73823076923077,7.30315355
ANDALUSIA OPP AP,AL,31.3089,-86.3939,94.5,73.16677042801557,56.90160553
ANDERSON CO AP,SC,34.4978,-82.7097,231.6,66.47519230769231,42.18506215
ANDOVER AEROFLEX AP,NJ,41.0089,-74.7367,177.7,54.0841015625,35.05120003
ANN ARBOR MUNI AP,MI,42.2228,-83.7444,255.7,52.01891891891892,21.72048417
ANNETTE ISLAND AP,AK,55.0389,-131.5786,33.2,48.89458015267175,65.25200374
ANNISTON METRO AP,AL,33.5872,-85.8556,181.1,67.02869230769231,48.37797888
APALACHICOLA AP,FL,29.7333,-85.0333,5.8,72.303125,41.11025842
ARCATA EUREKA AP,CA,40.9781,-124.1086,61.0,52.7681923076923,42.84647983
ARLINGTON MUNI AP,TX,32.6636,-97.0939,192.0,70.58359073359074,25.32678533
ASHEVILLE RGNL AP,NC,35.4319,-82.5375,645.3,60.34519083969466,40.37797456
ASHLAND HANOVER CO MUNI AP,VA,37.7081,-77.4344,62.5,62.50757692307692,32.77954526
ASHLAND KENNEDY MEM AP,WI,46.5486,-90.9189,251.8,44.836423076923076,22.909461190000002
ASHTABULA CO AP,OH,41.7781,-80.6958,281.6,53.01015384615384,19.16142767
ASPEN PITKIN CO AP,CO,39.2231,-106.8683,2353.1,47.63023076923077,10.75591132
ASTORIA RGNL AP,OR,46.1569,-123.8825,2.7,52.02465648854962,50.38979099
ATHENS BEN EPPS AP,GA,33.9481,-83.3275,239.3,66.41812977099237,46.18900132
ATLANTA,GA,33.3633,-84.5658,261.5,66.37030769230769,42.53151903
ATLANTA FULTON CO AP,GA,33.7792,-84.5214,256.0,67.62601593625499,38.37797348
ATLANTA HARTSFIELD INTL AP,GA,33.63,-84.4417,307.8,67.5125572519084,43.10238548
ATLANTA PEACHTREE AP,GA,33.875,-84.3022,305.4,66.49526923076924,45.54726869
ATLANTIC CITY,NJ,39.3792,-74.4242,3.0,58.32899613899614,38.56301295
ATLANTIC CITY INTL AP,NJ,39.4494,-74.5672,18.3,59.23942748091603,42.31892049
AUGUSTA BUSH FLD AP,GA,33.3644,-81.9633,40.2,70.1579389312977,38.66931222
AUGUSTA DANIEL FLD AP,GA,33.4669,-82.0386,128.9,71.71397683397684,34.68899511
AUGUSTA STATE AP,ME,44.3206,-69.7972,106.7,48.91757692307692,28.12993645
AURORA STATE AP,OR,45.2486,-122.7686,59.7,57.089230769230774,31.37403269
AUSTIN BERGSTROM AP,TX,30.1831,-97.68,146.3,73.4336641221374,31.27560744
AUSTIN GREAT HILLS,TX,30.4144,-97.7664,268.2,71.50727272727272,26.85434521
AUSTIN SAN ANTONIO,TX,29.7036,-98.0281,192.9,74.12796153846153,27.32678641
AUSTIN-CAMP MABRY,TX,30.3208,-97.7603,204.2,74.88915384615385,26.50788833
Adin Mtn,CA,41.24,-120.79,1886.7,45.658181818181816,29.692929420000002
Agua Canyon,UT,37.52,-112.27,2712.7,47.73022727272728,16.76772559
Albro Lake,MT,45.6,-111.96,2529.8,39.79590909090909,33.62600241
Alexander Lake,AK,61.75,-150.89,48.8,38.092727272727274,15.75985103
Alpine Meadows,WA,47.78,-121.7,1066.8,44.61636363636364,95.86619350000001
American Creek,AK,64.79,-141.23,320.0,32.07840909090909,9.56299729
Anchor River Divide,AK,59.86,-151.32,503.8,37.72318181818182,14.74016544
Anchorage Hillside,AK,61.11,-149.67,634.0,36.00909090909091,17.66536387
Aneroid Lake #2,OR,45.21,-117.19,2255.5,38.55227272727272,42.1653771
Annie Springs,OR,42.87,-122.17,1831.8,42.805454545454545,58.29530707
Arbuckle Mtn,OR,45.19,-119.25,1758.7,44.30409090909091,27.75198349
Atlanta Summit,ID,43.76,-115.24,2310.4,44.115227272727275,45.7480562
BAKER CITY MUNI AP,OR,44.8428,-117.8086,1024.4,48.358023255813954,5.60630224
BAKER MUNI AP,MT,46.3583,-104.25,905.6,48.50405405405405,7.18110624
BAKERSFIELD AP,CA,35.4344,-119.0542,149.0,71.47393129770991,5.30708948
BALTIMORE WASH INTL AP,MD,39.1667,-76.6833,47.5,60.24419847328244,32.18505675
BANGOR INTL AP,ME,44.7978,-68.8186,45.1,47.949236641221376,28.80710217
BARRE MONTPELIER AP,VT,44.2033,-72.5794,343.2,46.33561538461539,34.47639657
BARROW POST ROGERS AP,AK,71.2833,-156.7814,9.4,19.069541984732826,6.15748364
BARSTOW DAGGETT AP,CA,34.8536,-116.7858,584.3,72.973203125,2.15748148
BARTLESVILLE F P FLD,OK,36.7683,-96.0261,217.9,63.058653846153845,39.48033628
BATON ROUGE RYAN AP,LA,30.5372,-91.1469,19.5,72.5636923076923,55.44097482
BATTLE CREEK KELLOGG AP,MI,42.3075,-85.2511,282.9,53.66888461538461,21.84646849
BAUDETTE INTL AP,MN,48.7167,-94.6,329.8,43.243769230769225,12.1653609
BEAUFORT MCAS,SC,32.4833,-80.7167,11.3,71.6502734375,41.23230573
BEAUFORT MICHAEL J SMITH FLD,NC,34.7336,-76.6606,3.4,67.262,33.66537251
BECKLEY RALEIGH CO AP,WV,37.7836,-81.1231,766.3,56.348778625954196,34.98033385
BEDFORD HANSCOM FLD,MA,42.47,-71.2894,40.5,52.63223938223938,29.8031657
BELLINGHAM INTL AP,WA,48.7939,-122.5372,45.4,52.71626923076923,17.23622978
BENNINGTON MORSE ST AP,VT,42.8914,-73.2469,251.8,50.08273076923077,35.92915326
BENTON HARBOR AP,MI,42.1244,-86.4267,196.0,53.61400778210116,25.29528925
BERLIN MUNI AP,NH,44.5761,-71.1786,353.0,45.06384615384616,26.6141876
BETHEL AP,AK,60.785,-161.8292,31.1,34.59145038167939,16.21654419
BETTLES AP,AK,66.9161,-151.5089,195.7,31.101374045801528,13.51181832
BEVERLY MUNI AP,MA,42.5842,-70.9175,32.9,53.27253846153847,28.64174775
BIG DELTA AP,AK,63.9944,-145.7214,389.2,36.038664122137405,10.181107860000001
BIG PINEY MARBLETON AP,WY,42.5844,-110.1075,2124.5,40.431269230769225,7.78740578
BILLINGS LOGAN INTL AP,MT,45.8069,-108.5422,1091.5,52.57461832061068,13.19292051
BINGHAMTON,NY,42.1997,-75.985,489.5,49.29030534351145,40.944904
BIRMINGHAM AP,AL,33.5656,-86.745,187.5,68.09343511450382,57.98822029
BISHOP AP,CA,37.3711,-118.3581,1250.3,62.3901145038168,8.81496539
BISMARCK,ND,46.7708,-100.7603,505.4,49.06839694656489,12.3622114
BLOOMINGTON MONROE CO AP,IN,39.1333,-86.6167,257.3,58.867769230769234,29.92915002
BLUEFIELD MERCER CO AP,WV,37.2958,-81.2078,874.8,55.87630769230769,32.94096267
BLYTHE AP,CA,33.6186,-114.7142,120.4,79.07173076923077,3.24409624
BLYTHEVILLE MUNI AP,AR,35.9403,-89.8308,77.7,65.42876923076923,26.9685185
BOISE AIR TERMINAL,ID,43.5667,-116.2406,857.7,57.12270992366412,11.45276209
BONIFAY TRI CO AP,FL,30.8458,-85.6014,25.9,71.87244186046512,37.18505945
BOOTHVILLE ASOS,LA,29.3331,-89.4075,0.9,73.09226923076923,52.05120921
BORGER HUTCHINSON CO AP,TX,35.695,-101.395,930.9,65.0486923076923,21.11418463
BOSCOBEL AP,WI,43.1561,-90.6775,204.8,52.90873076923077,28.93308649
BOSTON LOGAN INTL AP,MA,42.3606,-71.0106,3.7,54.272251908396946,32.99608081
BOWLING GREEN WARREN CO AP,KY,36.9647,-86.4239,160.9,63.52457692307692,42.83073179
BOZEMAN GALLATIN FLD,MT,45.7881,-111.1608,1349.3,47.36853846153846,9.03937496
BRADFORD RGNL AP,PA,41.8031,-78.6403,645.3,49.363076923076925,37.2834847
BRADY,NE,41.0233,-100.3669,808.0,56.23241379310345,12.71260529
BRAINERD CROW WING CO AP,MN,46.4047,-94.1308,372.2,45.95761538461538,23.48032764
BRIDGEPORT SIKORSKY MEM AP,CT,41.1583,-73.1289,1.5,56.481717557251905,30.126000519999998
BRISTOL TRI CITY AP,TN,36.4731,-82.4044,457.2,60.7625572519084,35.81104296
BROKEN BOW MUNI AP,NE,41.4333,-99.6333,771.1,54.72188461538462,20.15355419
BROWNSVILLE,TX,25.9156,-97.4186,7.0,77.9769465648855,17.16142659
BRUNSWICK MALCOLM MCKINNON AP,GA,31.1522,-81.3908,4.9,72.79976923076923,41.94096753
BRYCE CANYON AP,UT,37.7064,-112.1456,2312.2,46.27780769230769,9.43307596
BUFFALO,NY,42.9486,-78.7369,211.2,52.433435114503816,34.7244282
BUFFALO ASOS,SD,45.6044,-103.5464,915.6,50.984461538461545,22.52363421
BUFFALO JOHNSON CO AP,WY,44.3814,-106.7211,1513.9,51.58698841698842,13.0708732
BURBANK GLENDALE PASADENA AP,CA,34.2006,-118.3575,225.9,67.77603846153846,9.61417842
BURLEY MUNI AP,ID,42.5417,-113.7661,1262.5,52.79761538461538,9.31102865
BURLINGTON ALAMANCE AP,NC,36.0467,-79.4769,188.1,64.74892307692308,28.0708813
BURLINGTON CARSON AP,CO,39.2447,-102.2842,1277.7,56.20065384615385,23.09056365
BURLINGTON INTL AP,VT,44.4683,-73.15,100.6,51.21190839694657,32.52757662
BURLINGTON MUNI AP,IA,40.7833,-91.1253,210.9,57.23263358778626,25.36221842
BURNET MUNI AP,TX,30.7406,-98.2353,392.6,71.82830115830116,19.74410515
BURNS MUNI AP,OR,43.595,-118.9564,1261.9,48.55275862068966,8.50787861
BUTTE BERT MOONEY AP,MT,45.9647,-112.5006,1678.2,45.07507633587786,9.95669829
Badger Pass,MT,48.13,-113.02,2103.1,40.15952755905512,37.23230357
Baker Butte,AZ,34.46,-111.41,2225.0,54.76795454545454,22.070878060000002
Bald Mtn.,WY,44.8,-107.84,2859.0,37.355681818181814,21.244105960000002
Baldy,AZ,33.98,-109.5,2781.3,47.54068181818182,22.775602850000002
Banfield Mountain,MT,48.57,-115.45,1706.9,43.27522727272727,24.55906838
Banner Summit,ID,44.3,-115.23,2145.8,41.20454545454545,48.657506590000004
Barker Lakes,MT,46.1,-113.13,2514.6,38.80795454545454,24.91733629
Base Camp,WY,43.95,-110.45,2142.7,40.98500000000001,32.27167097
Basin Creek,MT,45.8,-112.52,2188.5,42.949999999999996,16.842528780000002
Bateman,NM,36.51,-106.32,2834.6,45.46931818181818,22.661429560000002
Bear Basin,ID,44.95,-116.14,1630.7,42.83764258555133,27.56300701
Bear Canyon,ID,43.74,-113.94,2407.9,39.24227272727273,33.94883723
Bear Creek,NV,41.83,-115.45,2450.6,42.1175,33.13781317
Bear Grass,OR,44.33,-122.09,1438.7,46.63727272727272,87.9921735
Bear Lake,CO,40.31,-105.64,2895.6,42.62613636363636,31.73623761
Bear Mountain,ID,48.31,-116.07,1645.9,42.382045454545455,57.26774746
Bear River RS,UT,40.89,-110.83,2675.2,41.81715909090909,19.9606407
Bear Saddle,ID,44.61,-116.98,1883.7,44.62045454545454,30.2362368
Bear Trap Meadow,WY,43.89,-107.06,2499.4,42.227954545454544,18.43308082
Beartooth Lake,WY,44.94,-109.57,2852.9,36.08409090909091,31.82285183
Beartown,CO,37.71,-107.51,3535.7,37.24795454545454,25.64962015
Beaver Creek,MT,44.95,-111.36,2392.7,37.98568181818182,29.9606461
